From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
12251;10321;sea;2590;-1;-1;-1;-1;;Andaman
7413;1419;sea;2946;-1;-1;-1;-1;;Moluccas
10141;1419;sea;2946;-1;-1;-1;-1;;Moluccas
480;9431;sea;8621;-1;-1;-1;-1;;Netherlands outlier
8857;2284;sea;7617;1560;1009;1556;1016;PANAMA_CANAL;Panama
2729;2408;sea;6257;2949;1598;2962;1612;KIEL_CANAL;Kiel
5388;803;sea;1155;-1;-1;-1;-1;SUEZ_CANAL;Suez
299;211;sea;2282;-1;-1;-1;-1;;Småland-Öland
6345;6287;sea;2382;-1;-1;-1;-1;;Skåne-Sjaelland
3260;3325;sea;2408;-1;-1;-1;-1;;Sjaelland-Fyn
3374;13260;sea;2408;2971;1622;2973;1620;;SdFyn-Langeland
13260;13261;sea;2408;2975;1619;2977;1618;;Langeland-Lolland
13261;3305;sea;2408;2987;1617;2989;1619;;Lolland-Själland
3277;3325;sea;2408;-1;-1;-1;-1;;Fyn-Jylland
3325;13259;sea;2408;-1;-1;-1;-1;;Fyn-Samsö
6364;13259;sea;2408;2965;1642;2968;1641;;Jylland-Samsö
11251;13258;sea;2408;2954;1621;2956;1621;;Sönderjylland-Als
11251;3325;sea;2408;2956;1628;2960;1629;;Fyn-SdrJylland
9388;13257;sea;2358;3010;1608;3012;1609;;Stralsund-Rügen
83;185;sea;1885;-1;-1;-1;-1;;Estonia-Ösel
185;6201;sea;1885;-1;-1;-1;-1;;Ösel-Dagö
83;6201;sea;1660;-1;-1;-1;-1;;Dagö-Estonia
6891;3838;sea;5579;-1;-1;-1;-1;;Sardinia-Corsica
9990;4159;sea;5681;-1;-1;-1;-1;;Calabria-Sicily
9793;9845;sea;8871;-1;-1;-1;-1;;Menorca-Mallorca
12299;12113;sea;8287;-1;-1;-1;-1;;Singapore-Batam
7396;1401;sea;8287;-1;-1;-1;-1;;Bangka Belitung-Sumatra
1342;10279;sea;2125;-1;-1;-1;-1;;Java-Sumatra
7396;4211;sea;8261;-1;-1;-1;-1;;Bangka-Belitung
1460;12126;sea;8417;-1;-1;-1;-1;;Tanahbala-Sumatra
12126;1428;sea;8417;-1;-1;-1;-1;;Tanahbala-Siberut
4306;4608;sea;3809;-1;-1;-1;-1;;Soerbaja-Madura
7654;4273;sea;3809;-1;-1;-1;-1;;Java-Bali
7293;4273;sea;3616;-1;-1;-1;-1;;Bali-Lombok
7293;10191;sea;3616;-1;-1;-1;-1;;Lombok-W.Nusa Tenggara
12162;1298;sea;2928;-1;-1;-1;-1;;West Nusa Tenggara-East Nusa Tenggara
12151;10219;sea;5242;-1;-1;-1;-1;;East Nusa Tenggara-Pulau Alor
12444;10222;sea;2952;-1;-1;-1;-1;;Sulawesi-Pulau Buton
1311;4228;sea;4912;-1;-1;-1;-1;;San Bernardino Strait
4288;1221;sea;5127;-1;-1;-1;-1;;Mindoro-Batangas
4228;7307;sea;4912;-1;-1;-1;-1;;Ticao Pass
10302;1261;sea;4912;-1;-1;-1;-1;;Panay-Negros
10186;12153;sea;4912;-1;-1;-1;-1;;Negros-Cebu
7385;12153;sea;4912;-1;-1;-1;-1;;Bohol-Cebu
7557;1574;sea;2857;-1;-1;-1;-1;;Buru-Seram
10342;1437;sea;2946;-1;-1;-1;-1;;Obi-Bacan
7413;1437;sea;2946;-1;-1;-1;-1;;Halmahera-Bacan
4509;7542;sea;8751;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;2636;-1;-1;-1;-1;;Papua-New Britain
7251;4421;sea;2686;-1;-1;-1;-1;;New Britain-Latangai
4268;4231;sea;229;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;8942;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5559;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;2636;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;8822;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;1231;-1;-1;-1;-1;;San Cristobal-Guadalcanal
10319;12265;sea;1681;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;1681;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;1456;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;1456;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2903;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;1716;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;14226;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;8396;-1;-1;-1;-1;;Shikoku-Chugoku
13037;4646;sea;6824;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;14236;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;14225;-1;-1;-1;-1;;Kyushu-Shikoku
10124;1123;sea;14210;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;14210;-1;-1;-1;-1;;Okinawa 2
3995;13024;sea;2784;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;8147;-1;-1;-1;-1;;Amlia-Unalaska
10048;7195;sea;5527;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;5527;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5527;-1;-1;-1;-1;;Honolulu-Kauai
12148;10188;sea;2573;-1;-1;-1;-1;;Tahiti-Raiatea
7290;13080;sea;8547;-1;-1;-1;-1;;Samoan Islands
13056;13057;sea;8724;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2832;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2832;-1;-1;-1;-1;;Ulithi-Yap
10276;7669;sea;8822;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5462;-1;-1;-1;-1;;Adelaide-Kangaroo Island
13490;153;sea;2257;-1;-1;-1;-1;;Curacao-Zulia
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;14250;-1;-1;-1;-1;;Tsugaru Strait
4160;1070;sea;14187;-1;-1;-1;-1;;Hainan-Strait
7259;1393;sea;3792;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;8666;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;8666;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;7468;-1;-1;-1;-1;;Northern-Straits
